cluster,gene,avg_log2FC,p_val_adj,pct.1,pct.2
B Cells,MS4A1,3.437970798,0,0.659,0.012
B Cells,IGHM,2.692105329,0,0.529,0.024
B Cells,CD37,2.61923865,0,0.742,0.215
B Cells,CD79A,2.54868602,0,0.491,0.021
B Cells,BANK1,2.417787262,0,0.482,0.016
B Cells,CD69,2.289969523,0,0.663,0.157
B Cells,LY9,2.142350909,0,0.399,0.03
B Cells,HLA-DQB1,2.005644923,0,0.887,0.449
B Cells,CD83,1.929110417,0,0.695,0.214
B Cells,TNFRSF13C,1.87737932,0,0.357,0.011
B Cells,LAPTM5,1.871146201,0,0.762,0.282
B Cells,CD74,1.839846417,0,0.966,0.661
B Cells,PHACTR1,1.797453008,0,0.397,0.1
B Cells,CCR7,1.744520007,0,0.294,0.052
B Cells,MEF2C,1.673967801,0,0.368,0.091
B Cells,CD52,1.642345204,0,0.668,0.188
B Cells,CXCR4,1.617498741,0,0.7,0.329
B Cells,LINC00926,1.616137442,0,0.304,0.008
B Cells,GNG7,1.477997887,0,0.269,0.03
B Cells,IRF8,1.475690817,0,0.425,0.116
B Cells,ADAM28,1.429914002,0,0.278,0.04
B Cells,IGHD,1.377766483,0,0.18,0.001
B Cells,BCL2,1.606198002,2.10E-234,0.353,0.123
B Cells,ISG20,1.786888261,2.05E-218,0.524,0.281
B Cells,LIMD2,1.405517037,3.21E-218,0.358,0.128
B Cells,SMCHD1,1.435392659,2.39E-185,0.488,0.259
B Cells,NFKBID,1.422765858,1.13E-125,0.402,0.222
B Cells,PARP14,1.54989682,9.04E-110,0.38,0.218
B Cells,RALGPS2,1.564890507,3.00E-94,0.26,0.123
B Cells,PLCG2,2.035130227,2.89E-45,0.377,0.266
Basal KCs,MT1X,2.086594592,0,0.941,0.463
Basal KCs,KRT5,1.741581526,0,0.951,0.407
Basal KCs,KRT10,1.6658523,0,0.953,0.539
Basal KCs,RHOV,1.665195198,0,0.872,0.232
Basal KCs,PERP,1.5380106,0,0.978,0.443
Basal KCs,LY6D,1.508813868,0,0.931,0.36
Basal KCs,KRT1,1.505023051,0,0.781,0.28
Basal KCs,DSP,1.501393905,0,0.946,0.344
Basal KCs,SFN,1.490122832,0,0.978,0.431
Basal KCs,DSC3,1.476360488,0,0.915,0.315
Basal KCs,TACSTD2,1.420117848,0,0.945,0.373
Basal KCs,AQP3,1.41693397,0,0.93,0.389
Basal KCs,DMKN,1.403172445,0,0.932,0.357
Basal KCs,S100A14,1.361493964,0,0.965,0.374
Basal KCs,LGALS7B,1.34932174,0,0.924,0.335
Basal KCs,FXYD3,1.308833401,0,0.962,0.373
Basal KCs,KLF5,1.296449892,0,0.911,0.35
Basal KCs,NRARP,1.292978668,0,0.665,0.248
Basal KCs,C12orf75,1.29108941,0,0.758,0.321
Basal KCs,LYPD3,1.277569479,0,0.883,0.322
Basal KCs,LGALS7,1.273443695,0,0.353,0.11
Basal KCs,MYC,1.228758345,0,0.827,0.384
Basal KCs,KRT14,1.221862875,0,0.966,0.511
Basal KCs,SERPINB5,1.140602053,0,0.899,0.335
Basal KCs,S100A16,1.123695589,0,0.952,0.406
Basal KCs,MIR205HG,1.112789761,0,0.936,0.344
Basal KCs,DEFB1,1.054279822,0,0.667,0.192
Basal KCs,AKR1B10,1.040322245,0,0.601,0.195
Basal KCs,CD9,1.031756391,0,0.947,0.487
Basal KCs,CXADR,1.030825898,0,0.815,0.284
Basal-Stem KCs,KRT15,3.902693966,0,0.919,0.146
Basal-Stem KCs,CXCL14,2.736474949,0,0.925,0.296
Basal-Stem KCs,COL17A1,2.238850023,0,0.883,0.104
Basal-Stem KCs,S100A2,2.13280387,0,0.984,0.435
Basal-Stem KCs,LTF,2.088140919,0,0.469,0.134
Basal-Stem KCs,KRT14,2.044427957,0,0.989,0.536
Basal-Stem KCs,IGFBP3,1.997257884,0,0.54,0.118
Basal-Stem KCs,MIR205HG,1.948153466,0,0.976,0.375
Basal-Stem KCs,DST,1.873693225,0,0.874,0.208
Basal-Stem KCs,KRT5,1.759596574,0,0.987,0.434
Basal-Stem KCs,IL1R2,1.705866381,0,0.537,0.091
Basal-Stem KCs,MT2A,1.597117968,0,0.985,0.67
Basal-Stem KCs,PDLIM1,1.481921801,0,0.942,0.411
Basal-Stem KCs,HES1,1.434329277,0,0.728,0.394
Basal-Stem KCs,MT1E,1.412618557,0,0.866,0.362
Basal-Stem KCs,EGR1,1.329561567,0,0.891,0.438
Basal-Stem KCs,ASS1,1.326032369,0,0.612,0.061
Basal-Stem KCs,NCOA7,1.281060969,0,0.865,0.388
Basal-Stem KCs,SAA1,1.278700316,0,0.527,0.172
Basal-Stem KCs,ERRFI1,1.232088387,0,0.64,0.236
Basal-Stem KCs,C12orf75,1.194741092,0,0.788,0.344
Basal-Stem KCs,LAMB3,1.166471129,0,0.692,0.094
Basal-Stem KCs,FXYD3,1.11423679,0,0.971,0.407
Basal-Stem KCs,TAX1BP3,1.107383789,0,0.825,0.371
Basal-Stem KCs,RND3,1.088924644,0,0.787,0.358
Basal-Stem KCs,LIMA1,1.088030824,0,0.808,0.314
